6,Some lusty locales you may have yet to discover,"Chances are, you've had your fair share of out-of-bedroom experiences ó booty in the bathtub But in the name of erotic exploration, here are some lusty locales you may have yet to discover. Some lovemaking locations may actually be a little tricky, costly, too exotic or even slightly dangerous depending upon your circumstances. However, if an idea intrigues you, you can always setup a scenario and role play a situation in a pretend location. 

*** On a pile of pillows ***
An assortment of shapes, sizes, colors and textures all piled for pleasure. Have a playful pillow fight. Try new positions. 

*** Fooling around as passengers in a moving car  ***
Back seat while a friend drives, discreetly in a taxi, in a limousine with a privacy screen.

*** On exercise equipment at a private gym ***
You will definitely enjoy your workout.
*** In an elevator ***
Late at night on a weekday might be a good time and dress for a quickie

*** In a garage ***
Boat house or storage shed. Surreptitiously meet while others are outside unaware of your naughty behavior. 

*** On or against a clothes washing machine ***
Especially during the spin cycle. 

***In a small clothes or coat closet***
With the doors closed so it is completely dark. Will someone open it and catch you in the act? Novelty and the risk of getting caught coming out together make this exciting..
",3,0
7,A biological bad-deal thanks to our ancestors' hibernation patterns.†,"***Donít: cheer yourself up with alcohol***
Studies published in the American Journal of Physiology have found that drinking alcohol affects your bodyís ìmaster clockî and disrupts your energy levels further. 
",1,1
7,Cold weather dulls sexual sensations,"***The problem***
Cold weather dulls sexual sensations. Lower body temperatures dampen arousal for both men and women. 
***The solution***
Itís a great excuse to take off someone elseís clothes. Nothing heats you up faster than someone elseís body heat, according to University of Illinois studies. Bonus points: nude sleeping means no struggling with her bra clasp. 

***Donít: take her socks off***
Women are 30 per cent more likely to orgasm if they keep their feet warm, discovered Dutch scientists from the University of Groningen. 
",1,1
7,Winter weight gain saps your sex drive,"***The problem: winter weight gain saps your sex drive*** 
Thereís a biological reason why your summer six-pack is buried under winterís spare tyre. Studies by researchers at Indiana University have found that men pile on a minimum of one kilogram over winter because cold weather makes you want to eat more. Unfortunately for you, a US study by Duke University showed that gaining weight kills libido and makes men and women less sexually adventurous.

***The solution***
Boost levels of happiness and sex hormones with pizza. Studies published in medical journal The Lancet have shown that levels of mood-boosting chemical serotonin are lowest in winter and highest on bright, sunny days. However, according to University of North Carolina studies, itís possible to replicate the summer serotonin boost by eating smarter. The scientists found that serotonin is manufactured from protein-rich foods and its release is triggered by carbohydrates. And that smells to us like a meat-feast pizza. 

***Donít: try to give your libidos a boost by eating chocolate***
Although a few squares of quality 70 per cent cocoa chocolate can have a positive effect on mood, the cheaper sugary stuff will work against you. Scientists from St. Vincentís University Hospital in Dublin found that eating a sugary snack can temporarily lower testosterone levels, which, in turn, can sap your sex drive, whatever your sex. ",1,0
7,Women are more prone to ìthe winter bluesî ,"***The problem***
Women are more prone to ìthe winter bluesî and loss of libido. Itís not just your cold feet that are causing her to keep her fleecy PJs on. 

***The solution***
Switch birth control methods. Finally, a happy ending: studies by US scientists at Albany State University found that women whose partners didnít use condoms were less likely to experience depression. The researchers think itís because semen contains positive mood-altering substances. 

***Donít: try this with someone other than your long-term partner***
STIs are on the rise. According to the Australian Herpes Management Forum, one in eight adults carry the genital herpes virus and 80 per cent of people infected with it donít know they are because theyíre unaware of the symptoms or donít experience any. Always use protection, unless you and your partner have both had an STI test. 
",1,0
7,You produce fewer sex hormones in winter,"***The problem***
You produce fewer sex hormones in winter.† Testosterone takes a nosedive in the winter and early spring, according to the Journal of Clinical Endocrinology & Metabolism. 

***The solution***
Get more sleep. Sleeping for longer allows the body to produce more testosterone. If you canít sleep more, sleep smarter. 

***Donít: resort to an energy drink***
Scientists at the Sleep Research Centre in the UK found men who supped an energy drink were significantly more lethargic and had more trouble concentrating an hour later.",1,1
9,Different condoms,"A condom is the only way to effectively protect against transmission of HIV or an STI during unprotected sex.
The elasticity of a condom allows it to adapt to all morphologies.

More on this subject:

* Latex: very resilient and resistant, even at very low thickness.
It deteriorates when exposed to cold, heat, sunlight and with time.

* Polyurethane: Tips for people who are allergic to latex.
It is less resistant than latex. Therefore change it more often during sex and use more lubricant.

* Hypoallergenic; the latex is a specially treated to remove components responsible for allergies.

* Textured: ribbed, striped and others designed to improve the sensations.

Several sizes:

* Length: between 15 cm and 20 cm, the standard size is 17 cm.

* Width: 40 mm and 60 mm, the standard size is 52 mm.

* Thickness: the finest is 0.02 mm and 0.08 mm thicker, but for most the thickness is 0.03 mm.

It is important when buying condoms to check the exact dimensions as the value of sizes can vary from one brand to another.

Lubricated or not: 

Condoms are usually lubricated, it can facilitate the process but always add gel when use.
Putting the gel reduces the risk of tearing the condom.
If a condom is not lubricated, it should be lubricated before use unless it is for oral sex.

The Femidom

it is designed for vaginal penetration. It is a polyurethane sheath that is larger than the condom but less elastic.
The Femidom consists of two flexible rings, at each end.

The advantage: 
The Femidom does not squeeze the penis.
†It can be installed several hours in advance.
†It is compatible with all lubricants
†Very useful if your partner loses his erection when he puts a condom.

The drawback:
 It is not pretty!
†It is a bit noisy.
†It is less sure than a condom, because the sheath can be fragile and tear when removing the inner ring.
",6,1
9,How to put on a Condom  ,"* Make sure the condom isn't past its expiration date, and has not been tampered with or damaged. Carefully tear open condom packet. 
* Hold tip of condom to create an air-free reservoir for semen. 
* Roll condom over the base of the penis. 
* Add water-based lubricants only.

***Precautions***
* Make sure the condom isn't past its expiration date, and has not been tampered with or damaged. 
* If a condom breaks during intercourse, stop and immediately replace it with a new one. 
* Hold condom at the base during withdrawal from intercourse
* A condom kept in a dry place and protected from the light.

***More advice***
* A condom must be changed regularly, every half an hour.
* It is advised to use some lubricant to avoid the risks of break.
* Always double check your condom afterwards for leaks or holes. 
* Never use the same condom twice 
* Don't try to increase your protection by using two condoms at once",6,0
11,The sexual identity ,"The challenge to achieving this openness and trust starts with an understanding of one's own Sexuality.

***Heterosexuality***

Heterosexuality means sexual attraction to the opposite gender. The term is usually applied to humaun beings, but it is also observed in all mammals.

***Bisexuality***

Bisexuality is sexual behavior or an orientation involving physical and/or romantic attraction to both males and females


***Homosexuality***

Homosexuality is romantic and/or sexual attraction or behavior among members of the same sex or gender. The consensus of the behavioral and social sciences and the health and mental health professions is that homosexuality is a normal and positive variation in human sexual orientation, though many religious societies, including Catholicism, Mormonism, and Islam, 
The most common adjectives in use are lesbian for women and gay for men, though gay can refer to either men or women.
	
***Asexual***

Asexual Person is someone who has no desire to have sex. Asexuals do not experience sexual attraction, do not find sexual behavior appealing and are not compelled to form sexual relationships.

***Transvestism (also called transvestitism)***

Is the practice of cross-dressing, which is wearing clothing traditionally associated with the opposite sex.Transvestite refers to a person who cross-dresses; however, the word often has additional connotations. It includes males and females and may or may not be related to sex drive, to gender perception, or to any of a number of things.

***Transsexualism***

Is an individual's identification with a gender inconsistent or not culturally associated with their biological sex. In short, a transsexual is a person who feels like they should have been born the opposite gender. In short, a transsexual is a person who feels like they should have been born the opposite gender. It is common for transsexuals to be aware of their condition at an early age. Many grow aware before puberty, and as young as preschool ages. Not only is this a confusing way for a child to grow up, but it can also lead to self destructive behavior. Transsexuality occurs equally in men and women. It remains controversial, however. Discrimination and negative attitudes towards transsexualism often accompany certain religious beliefs or cultural values. There are cultures that have no difficulty integrating people who change gender roles, often holding them with high regard, Transsexuals are under constant internal struggles and need acceptance in society.",0,1
11,How to know him better?,"***Penis*** 

The penis (shaft) and scrotum (balls) are the external sexual organs of men. 
The organ of copulation and urination in the male; formed of three columns of erectile tissue, two arranged laterally on the dorsum (corpora cavernosa penis) and one median ventrally the urethra traverses the latter; the extremity (glans penis) is formed by an expansion of the corpus spongiosum and is more or less completely covered by a free fold of skin (prepuce).	


***Testes, Testicles***

The male sexual glands, the two testes within the scrotum produce sperm and testosterone. Within each testis is a kilometer of ducts called the seminiferous tubules, the organs which generate sperm. Each testicle produces nearly 150 million sperm every 24 hours. 
	
***Monorchide***

Males have only one testicle, But This will not effect at all during sexual intercourse or fertility.	
	

***Cryptorchidism***
 
Is the absence of one or both testes from the scrotum. It is the most common birth defect regarding male genitalia. In unique cases, cryptorchidism can develop later in life, often as late as young adulthood. 


***Anorchia***

Is the absence of both testes at birth. Vanishing testes.
	

***Testicular cancer***
 
Is cancer that develops in the testicles, a part of the male reproductive system. It is most common among males aged 15ñ40 years.
Testicular cancer has one of the highest cure rates of all cancers: in excess of 90 percent; essentially 100 percent if it has not metastasized. Symptoms may include one or more of the following:
* a lump in one testis which may or may not be painful 
* sharp pain or a dull ache in the lower abdomen or scrotum
* a feeling often described as ""heaviness"" in the scrotum



***Hydrocele***

Is a collection of fluid in the scrotum, the sac that holds the testicles. There are two types of hydroceles depending on how they form. One type, seen shortly after birth, is called congenital hydrocele. In adults, hydroceles develop slowly due to a variety of causes. The condition may occur in one or both sides. Although typically painless, hydroceles may be caused by infection, which may cause pain or discomfort


***Elephantiasis***

Elephantiasis is a disease characterised by inflammation of the fibrous connective tissue, leading to excessive swelling of the leg, scrotum, arm or breast and more rarely other parts of the body. It is caused by the parasitic worm Filaria which blocks the lymph vessels, and at the same time causes irritation of the skin.	
	

***Testicular torsion*** 

Is a disorder in which the testicles rotate (twist) and strangle the spermatic cord, which consists of blood vessels, lymphatic vessels, nerves, and the duct that carries sperm from the body, cutting off the blood supply to the testicles. Torsion can cause shrinkage and tissue death, and may require surgical removal of the testicles if not treated promptly. Torsion often occurs during sleep.
	

***The Prostate***

Is an organ forming part of the male reproductive system. It is located immediately below the bladder and just in front of the bowel. Its main function is to produce fluid which protects and enriches sperm. In younger men the prostate is about the size of a walnut. It is doughnut shaped as it surrounds the beginning of the urethra, the tube that conveys urine from the bladder to the penis. The nerves that control erections surround the prostate.",0,0
