"id","idQuiz","question","explanation"
0,0,"Quel est le seul moyen de contraception qui protège également des maladies sexuellement transmissibles ?","Le meilleur moyen de vous protéger des IST est d’utiliser un préservatif pour la fellation et un préservatif avec un gel à base d’eau pour la pénétration. Si le risque de transmission du VIH par la fellation est faible, il est en revanche très important pour certaines IST comme la syphilis.
Le préservatif est le seul moyen de contraception qui protège du VIH et des IST. Lorsqu’il existe un vaccin (hépatite B, infection à papillomavirus), celui-ci représente le moyen de prévention le plus efficace."
1,0,"Que signifie SM ?","Abréviation désignant l'association de tendances sadiques et masochistes chez la même personne."
2,0,"Quelle personne n'a jamais tourné dans un film pornographique?","Clara Morgane est une ancienne actrice porno, Katsumi est encore en activité, alors qu'Anna Tommy (simple jeu de mots...) n'existe pas."
3,0,"Qu’est-ce que la l’acomoclitisme?","L'acomoclitisme est le fétichisme sexuel des pubis glabres. Cela signifie, par exemple, que pour l'homme ou la femme pratiquant l'acomoclitisme, la vue des grandes lèvres rasées de sa partenaire, ou des bourses et pourtour de la verge rasés pour son partenaire est une source d'excitation sexuelle. Il ne faut pas confondre l'acomoclitisme (c'est-à-dire l'attirance sexuelle) avec les pratiques (le rasage ou l'épilation pubienne)."
4,0,"Avec quelle partie du corps réalise-t-on une branlette thaïlandaise ?","La branlette thaïlandaise est une masturbation pratiquée avec les pieds. On parle de branlette espagnole avec les seins, et de branlette Grecque avec les fesses."
5,0,"Lequel de ces 3 objets est un sextoy?","Le godemichet ou olisbos (dildo en anglais) est un objet phallique qui ne vibre pas, spécialement dédié à la pénétration, utilisé pour la stimulation sexuelle du vagin ou de l'anus. Il est généralement de la forme d'un pénis et d'un scrotum, mais, comme pour le vibromasseur, peut se décliner en de nombreuses formes, dont certaines plus extravagantes que d'autres, certains contenant par exemple un appendice externe dédié à la stimulation du clitoris."
6,0,"Parmi ces 3 propositions, laquelle est synonyme de masturbation ?","L’onanisme désigne en français les pratiques de masturbation. C’est donc à l’origine un terme religieux et moral, puis pseudo-médical, permettant de désigner la pathologie associée à la masturbation. Il apparaît précisément au moment où cette pratique commence à être considérée comme un fléau social et nuisible à la santé."
7,0,"Lequel de ces aliments n'est pas aphrodisiaque :","La yohimbine est considérée comme étant l'un des seuls aphrodisiaques naturels connus de l'homme et aussi le plus puissant. Le gingembre est aussi considéré comme ayant des effets aphrodisiaques."
8,0,"Une de ces personnalités n'a jamais porté d'anneau de pureté, laquelle?","Connaissant le passé de sa maman, Melle Ciccone ne risque pas de porter un anneau de pureté. Selena Gomez et Demi Lovato ont prôné les avantages de rester vierge jusqu'au mariage."
9,0,"Comment s'appelle le nouveau concept qui est de mimer une relation sexuelle tout en gardant ses vêtements?","Ce concept consiste plus ou moins à caricaturer l'acte sexuel en étant seul et habillé!Ce passe-temps est plus connu au Japon, il existe même des concours!"
10,0,"La mode est au bio, il existe même une marque de préservatif. Comment s'appelle-t-elle?","Malgré une appellation française, French Letter est une marque britannique! Avec cette volonté environnementale, la marque fait très attention à la composition de son préservatif."
11,0,"Je suis un sex coach donc :","Faire appel à un sex coach est une tendance plus courante en Angleterre qu'en France. En effet, un homme ou une femme vient chez vous et vous apprend à vous débloquer au lit! Vous pouvez avoir le droit à des démonstrations."
12,0,"On connait tous le kamasutra, mais qu'est ce que le kama-sousdrap?","Cette parure particulière renferme des micro-capsules d'huiles essentielles et celles-ci se libèrent au contact de votre peau. Vos petits câlins sont donc pimentés d'odeurs suptiles."
13,0,"Qu'est-ce qu'un gastrosexuel?","Le terme gastrosexuel n'est pas très classe, il fait plutôt penser à une maladie. Mais non, c'est juste un homme qui sait régaler nos papilles avant autre chose..."
14,0,"Qu'est-ce qu'un love plane?","Grand fantasme, l'amour dans un avion! C'est possible grâce à une compagnie aérienne qui loue certains avions pour 90 minutes de plaisir!"
15,0,"Le meilleur endroit pour conserver ses préservatifs :","Il est conseillé de conserver les préservatifs dans un endroit sec, frais et à l'abri du soleil. Tout autre endroit peut en effet altérer ses capacités."
16,0,"Combien de temps peut on garder un préservatif avec du spermicide ?","Pas d'explication particulière"
17,0,"Combien de temps peut on garder un préservatif classique ?","En effet, un préservatif ne se garde pas plus de 5 ans car dépassée cette date, le latex est moins imperméable."
18,0,"Quels sont les préservatifs les plus surs?","Cette nouvelle matière pour les préservatifs est plus résistantes que le latex et surtout beaucoup moins allergisante."
19,0,"La meilleure manière d’enfiler un préservatif est : ","En maintenant toujours le réservoir entre les doigts, placer le préservatif sur le bout du pénis en érection et utiliser l’autre main pour continuer à dérouler complètement le préservatif le long du pénis. Pendant le rapport, si le préservatif commence à s’enrouler sur lui-même, le remettre en place immédiatement en le déroulant à nouveau avant de continuer la relation sexuelle. Si le préservatif s’enlève entièrement, en mettre un nouveau avant de continuer la relation sexuelle."
20,0,"Le virus du Sida peut se transmettre par une poignée de main","Il est impossible d'attraper le VIH/SIDA par simple contact avec des personnes infectées, par l'étreinte, par une poignée de mains, par la toux ou un éternuement. Le VIH/SIDA ne se transmet pas par le siège des toilettes, les téléphones, les assiettes, les verres, les couverts, les serviettes, les draps, les piscines ou les bains publics. Le VIH/SIDA ne se transmet pas par des piqûres de moustiques ou d'autres insectes."
21,0,"En embrassant mon partenaire très amoureusement, je prends un risque vis-à-vis du Sida","Embrasser une personne atteinte du VIH ou du sida ne présente pas de risque. La concentration de VIH dans la salive est si infime qu'il faudrait en injecter plus d'un litre dans nos veines pour être infecté."
22,0,"Pendant les préliminaires, on peut se masturber réciproquement sans courir de risques","Le VIH n'est pas transmis par les baisers, même avec la langue. Les caresses, le contact corporel et la masturbation réciproque (petting) ne présentent aucun risque.
Le VIH ne peut non plus se transmettre dans les toilettes publiques ou par l'utilisation commune d'ustensiles de cuisine (tasses, couvert, etc.)."
23,0,"Il est inutile de se protéger pendant un cunnilingus","Le cunnilingus, comme la fellation, n'est pas une pratique sans dangers : il peut transmettre la plupart des maladies sexuellement transmissibles, comme l'herpès ou le condylome. Le risque de transmission du sida est en revanche très faible."
24,0,"Le risque de contamination par pénétration est moins important chez les hétérosexuels","Le risque de contamination par le VIH au cours d’une relation sexuelle entre deux hommes est 200 fois plus élevé que pour une relation sexuelle entre deux personnes hétérosexuelles ou entre deux femmes homosexuelles."
25,0,"Il est possible de réutiliser son préservatif plusieurs fois","Au-delà du manque d'hygiène, un préservatif ne peut servir qu´une seule fois. Le préservatif est trop fragile après utilisation, il ne protège plus et risque de se rompre. Utiliser un même préservatif plusieurs fois expose au risque de transmission des IST et met en danger vos partenaires."
26,0,"La sodomie est la position sexuelle qui favorise le plus les risques de contamination","La sodomie augmente le risque car les muqueuses anale et rectale sont très réceptives et surtout très fragiles puisqu'elles ne sont pas pourvues d'un tissu organisé pour résister aux frottements et à la pénétration. Le risque est double : pour la personne qui est pénétrée, c'est la transmission de germes par le sperme et les risques de déchirure de la muqueuse. Pour celui qui pénètre, c'est le risque d'être infecté par des germes intestinaux. C'est ainsi que l'amibiase , bien qu'étant une infection intestinale peut être considérée comme une MST."
